Fecha;Dia semana;Monto total;Efectivo;Tarjeta Credito;Tarjeta Debito;Web Pay;PedidosYa;PedidosYa Vouchers;Rappi;UberEats;Mercat;Transferencia;PedidosYa Efectivo;Uber eats
miércoles, 16 de noviembre de 2022;Wednesday;986379;136004;9498;586037;0;34720;0;29970;152490;17480;0;20180;0
jueves, 17 de noviembre de 2022;Thursday;1378264;105716;153560;580058;0;137460;0;98520;302950;0;0;0;0
viernes, 18 de noviembre de 2022;Friday;2393304;225210;272088;1285616;0;140920;0;112290;290890;27270;0;39020;0
sábado, 19 de noviembre de 2022;Saturday;709366;30000;13178;55473;0;108260;10990;105090;351505;34870;0;0;0
domingo, 20 de noviembre de 2022;Sunday;1094430;102134;89078;410228;0;111970;0;163450;96890;49750;0;70930;0
lunes, 21 de noviembre de 2022;Monday;684258;35159;137940;348789;0;45860;5170;21990;83530;0;0;5820;0
martes, 22 de noviembre de 2022;Tuesday;673448;68834;35662;273182;0;150420;0;36560;90510;0;0;18280;0
miércoles, 23 de noviembre de 2022;Wednesday;1171508;90068;328538;508131;0;32580;0;33170;152091;17480;0;9450;0
jueves, 24 de noviembre de 2022;Thursday;1540763;135986;128437;974130;0;78120;0;77140;130970;15980;0;0;0
viernes, 25 de noviembre de 2022;Friday;2192031;219963;135092;1258696;0;143360;3270;49550;326820;47560;0;7720;0
sábado, 26 de noviembre de 2022;Saturday;1997171;311198;211430;1037213;0;98220;0;58060;210261;51350;10549;8890;0
domingo, 27 de noviembre de 2022;Sunday;914696;73000;29216;583049;0;65000;0;20880;143551;0;0;0;0
lunes, 28 de noviembre de 2022;Monday;452203;37390;82588;200355;0;0;0;0;104900;26970;0;0;0
martes, 29 de noviembre de 2022;Tuesday;1220342;129081;96437;746864;0;25770;0;53250;130970;0;0;37970;0
miércoles, 30 de noviembre de 2022;Wednesday;1399417;179138;39985;952613;0;80840;0;32770;114071;0;0;0;0
jueves, 1 de diciembre de 2022;Thursday;1467063;190818;24882;767333;0;78720;0;80120;284040;19480;0;21670;0
viernes, 2 de diciembre de 2022;Friday;2907872;201393;253874;1716507;0;171740;6716;235390;272780;23970;0;25502;0
sábado, 3 de diciembre de 2022;Saturday;2162923;219219;127218;1350355;0;103790;7600;109890;210881;0;0;33970;0
domingo, 4 de diciembre de 2022;Sunday;2342917;230429;41708;1409409;0;200630;0;107310;231301;24070;0;98060;0
lunes, 5 de diciembre de 2022;Monday;627792;185560;0;249022;0;24470;0;0;105890;51860;0;10990;0
martes, 6 de diciembre de 2022;Tuesday;1053147;107276;43923;598898;0;68630;0;19880;181970;0;0;32570;0
miércoles, 7 de diciembre de 2022;Wednesday;1813985;133780;161352;1077298;0;27670;0;64740;299130;6290;43725;0;0
jueves, 8 de diciembre de 2022;Thursday;1435096;119092;52294;1034079;0;105560;0;0;106581;17490;0;0;0
viernes, 9 de diciembre de 2022;Friday;2020818;126121;89661;1263959;0;90710;0;128080;278140;19980;24167;0;0
sábado, 10 de diciembre de 2022;Saturday;1371620;79215;249515;509399;0;119600;0;136640;228481;48770;0;0;0
domingo, 11 de diciembre de 2022;Sunday;1114125;62265;59862;515366;0;105850;0;60900;243962;59730;0;6190;0
lunes, 12 de diciembre de 2022;Monday;601683;140107;0;364586;0;28870;0;0;57130;0;0;10990;0
martes, 13 de diciembre de 2022;Tuesday;1129178;170304;66627;581406;0;36150;0;44060;219641;0;0;10990;0
miércoles, 14 de diciembre de 2022;Wednesday;1155114;162858;173723;635030;0;28870;0;0;72421;19480;50842;11890;0
jueves, 15 de diciembre de 2022;Thursday;1576718;131977;238326;785405;0;29980;0;85630;243460;61940;0;0;0
viernes, 16 de diciembre de 2022;Friday;1940800;134765;129143;1183861;0;96150;0;92810;258801;45270;0;0;0
sábado, 17 de diciembre de 2022;Saturday;2187257;254140;351189;1137787;0;16480;0;171250;231641;24770;0;0;0
domingo, 18 de diciembre de 2022;Sunday;1302185;145265;101323;620870;0;102210;0;187980;82710;16780;23067;21980;0
lunes, 19 de diciembre de 2022;Monday;472985;71660;62172;207333;0;15180;0;28130;88510;0;0;0;0
martes, 20 de diciembre de 2022;Tuesday;993157;46260;117926;578010;0;111200;0;9690;100601;29470;0;0;0
miércoles, 21 de diciembre de 2022;Wednesday;1188041;66646;187714;646280;0;59540;0;38760;158741;9390;0;20970;0
jueves, 22 de diciembre de 2022;Thursday;1198997;247062;70069;567615;11980;57210;0;28270;197811;18980;0;0;0
viernes, 23 de diciembre de 2022;Friday;2772638;241450;444263;1645903;0;56930;0;107500;184002;92590;0;0;0
sábado, 24 de diciembre de 2022;Saturday;266721;90213;0;109778;0;10990;0;28270;0;27470;0;0;0
domingo, 25 de diciembre de 2022;Sunday;0;0;0;0;0;0;0;0;0;0;0;0;0
lunes, 26 de diciembre de 2022;Monday;1137070;180812;43566;698421;0;37060;0;39160;106581;20480;0;10990;0
martes, 27 de diciembre de 2022;Tuesday;1182706;214095;203346;499824;0;22080;0;79540;133861;6990;0;22970;0
miércoles, 28 de diciembre de 2022;Wednesday;1228352;99990;111778;821258;0;19580;0;34070;112180;29496;0;0;0
jueves, 29 de diciembre de 2022;Thursday;2171879;198177;298592;1237066;0;70230;0;79020;219764;34470;0;34560;0
viernes, 30 de diciembre de 2022;Friday;2343860;317210;308814;1245723;0;91660;0;125270;212923;28970;0;13290;0
sábado, 31 de diciembre de 2022;Saturday;514854;90973;56903;219718;0;65740;0;0;48550;32970;0;0;0
domingo, 1 de enero de 2023;Sunday;644440;285360;17450;334650;0;0;0;0;0;0;6980;0;0
lunes, 2 de enero de 2023;Monday;1353645;78827;79640;749348;0;114990;0;98000;152230;46250;0;34360;0
martes, 3 de enero de 2023;Tuesday;771367;132857;86889;389119;0;10990;0;54550;96962;0;0;0;0
